Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Volum,Ikke gyldig lengde,Lengdedekningsgrad (%),Felt,Felt gyldig fra,Felt gyldig til,< 5,6m,> 5,6m,5,6m - 7,6m,7,6m - 12,5m,12,5m - 16,0m,16,0m - 24,0m,> 24,0m
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T00:00+01:00,2019-03-01T01:00+01:00,30,0,100,00,1,2017-01-12T12:00:00.107+01:00,,29,1,1,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T00:00+01:00,2019-03-01T01:00+01:00,66,0,100,00,2,2017-01-12T12:00:00.107+01:00,,61,5,5,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T00:00+01:00,2019-03-01T01:00+01:00,25,2,92,00,3,2017-01-12T12:00:00.107+01:00,,18,5,0,3,2,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T00:00+01:00,2019-03-01T01:00+01:00,28,0,100,00,4,2017-01-12T12:00:00.107+01:00,,16,12,1,1,9,1,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T00:00+01:00,2019-03-01T01:00+01:00,149,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T01:00+01:00,2019-03-01T02:00+01:00,28,1,96,43,1,2017-01-12T12:00:00.107+01:00,,24,3,3,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T01:00+01:00,2019-03-01T02:00+01:00,50,1,98,00,2,2017-01-12T12:00:00.107+01:00,,48,1,0,1,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T01:00+01:00,2019-03-01T02:00+01:00,24,0,100,00,3,2017-01-12T12:00:00.107+01:00,,22,2,2,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T01:00+01:00,2019-03-01T02:00+01:00,9,0,100,00,4,2017-01-12T12:00:00.107+01:00,,8,1,1,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T01:00+01:00,2019-03-01T02:00+01:00,111,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T02:00+01:00,2019-03-01T03:00+01:00,17,0,100,00,1,2017-01-12T12:00:00.107+01:00,,15,2,2,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T02:00+01:00,2019-03-01T03:00+01:00,47,0,100,00,2,2017-01-12T12:00:00.107+01:00,,41,6,4,2,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T02:00+01:00,2019-03-01T03:00+01:00,20,0,100,00,3,2017-01-12T12:00:00.107+01:00,,20,0,0,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T02:00+01:00,2019-03-01T03:00+01:00,11,0,100,00,4,2017-01-12T12:00:00.107+01:00,,11,0,0,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T02:00+01:00,2019-03-01T03:00+01:00,95,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T03:00+01:00,2019-03-01T04:00+01:00,29,1,96,55,1,2017-01-12T12:00:00.107+01:00,,24,4,1,3,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T03:00+01:00,2019-03-01T04:00+01:00,36,0,100,00,2,2017-01-12T12:00:00.107+01:00,,33,3,3,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T03:00+01:00,2019-03-01T04:00+01:00,6,0,100,00,3,2017-01-12T12:00:00.107+01:00,,5,1,0,0,1,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T03:00+01:00,2019-03-01T04:00+01:00,6,0,100,00,4,2017-01-12T12:00:00.107+01:00,,5,1,1,0,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T03:00+01:00,2019-03-01T04:00+01:00,77,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T04:00+01:00,2019-03-01T05:00+01:00,32,1,96,88,1,2017-01-12T12:00:00.107+01:00,,26,5,4,1,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T04:00+01:00,2019-03-01T05:00+01:00,33,0,100,00,2,2017-01-12T12:00:00.107+01:00,,29,4,2,2,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T04:00+01:00,2019-03-01T05:00+01:00,15,2,86,67,3,2017-01-12T12:00:00.107+01:00,,4,9,0,1,8,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T04:00+01:00,2019-03-01T05:00+01:00,11,1,90,91,4,2017-01-12T12:00:00.107+01:00,,8,2,0,2,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T04:00+01:00,2019-03-01T05:00+01:00,91,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T05:00+01:00,2019-03-01T06:00+01:00,70,0,100,00,1,2017-01-12T12:00:00.107+01:00,,53,17,8,9,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T05:00+01:00,2019-03-01T06:00+01:00,58,1,98,28,2,2017-01-12T12:00:00.107+01:00,,48,9,3,6,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T05:00+01:00,2019-03-01T06:00+01:00,38,1,97,37,3,2017-01-12T12:00:00.107+01:00,,15,22,1,12,9,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T05:00+01:00,2019-03-01T06:00+01:00,9,0,100,00,4,2017-01-12T12:00:00.107+01:00,,5,4,0,2,2,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T05:00+01:00,2019-03-01T06:00+01:00,175,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T06:00+01:00,2019-03-01T07:00+01:00,410,5,98,78,1,2017-01-12T12:00:00.107+01:00,,369,36,13,20,1,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T06:00+01:00,2019-03-01T07:00+01:00,188,0,100,00,2,2017-01-12T12:00:00.107+01:00,,171,17,10,7,0,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T06:00+01:00,2019-03-01T07:00+01:00,94,1,98,94,3,2017-01-12T12:00:00.107+01:00,,37,56,0,21,32,3,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T06:00+01:00,2019-03-01T07:00+01:00,43,1,97,67,4,2017-01-12T12:00:00.107+01:00,,13,29,0,4,22,3,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T06:00+01:00,2019-03-01T07:00+01:00,735,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T07:00+01:00,2019-03-01T08:00+01:00,715,33,95,38,1,2017-01-12T12:00:00.107+01:00,,633,49,18,27,4,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T07:00+01:00,2019-03-01T08:00+01:00,569,9,98,42,2,2017-01-12T12:00:00.107+01:00,,525,35,12,16,3,4,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T07:00+01:00,2019-03-01T08:00+01:00,297,20,93,27,3,2017-01-12T12:00:00.107+01:00,,180,97,2,30,61,4,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T07:00+01:00,2019-03-01T08:00+01:00,130,3,97,69,4,2017-01-12T12:00:00.107+01:00,,61,66,2,12,51,1,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T07:00+01:00,2019-03-01T08:00+01:00,1711,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T08:00+01:00,2019-03-01T09:00+01:00,703,31,95,59,1,2017-01-12T12:00:00.107+01:00,,625,47,19,25,2,1,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T08:00+01:00,2019-03-01T09:00+01:00,602,6,99,00,2,2017-01-12T12:00:00.107+01:00,,554,42,17,19,4,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T08:00+01:00,2019-03-01T09:00+01:00,290,22,92,41,3,2017-01-12T12:00:00.107+01:00,,185,83,6,28,45,4,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T08:00+01:00,2019-03-01T09:00+01:00,197,5,97,46,4,2017-01-12T12:00:00.107+01:00,,90,102,4,10,82,6,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T08:00+01:00,2019-03-01T09:00+01:00,1792,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T09:00+01:00,2019-03-01T10:00+01:00,657,18,97,26,1,2017-01-12T12:00:00.107+01:00,,595,44,18,22,2,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T09:00+01:00,2019-03-01T10:00+01:00,508,3,99,41,2,2017-01-12T12:00:00.107+01:00,,449,56,22,29,4,1,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T09:00+01:00,2019-03-01T10:00+01:00,170,12,92,94,3,2017-01-12T12:00:00.107+01:00,,94,64,5,17,35,7,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T09:00+01:00,2019-03-01T10:00+01:00,133,1,99,25,4,2017-01-12T12:00:00.107+01:00,,63,69,4,6,57,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T09:00+01:00,2019-03-01T10:00+01:00,1468,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T10:00+01:00,2019-03-01T11:00+01:00,679,25,96,32,1,2017-01-12T12:00:00.107+01:00,,597,57,29,22,4,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T10:00+01:00,2019-03-01T11:00+01:00,641,6,99,06,2,2017-01-12T12:00:00.107+01:00,,577,58,26,27,3,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T10:00+01:00,2019-03-01T11:00+01:00,160,8,95,00,3,2017-01-12T12:00:00.107+01:00,,106,46,3,15,25,3,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T10:00+01:00,2019-03-01T11:00+01:00,126,1,99,21,4,2017-01-12T12:00:00.107+01:00,,68,57,4,7,42,4,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T10:00+01:00,2019-03-01T11:00+01:00,1606,-,-,Totalt,-,-,-,-,-,-,-,-,-
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T11:00+01:00,2019-03-01T12:00+01:00,652,19,97,09,1,2017-01-12T12:00:00.107+01:00,,602,31,16,14,1,0,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T11:00+01:00,2019-03-01T12:00+01:00,633,10,98,42,2,2017-01-12T12:00:00.107+01:00,,577,46,23,18,3,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T11:00+01:00,2019-03-01T12:00+01:00,157,6,96,18,3,2017-01-12T12:00:00.107+01:00,,101,50,5,9,32,3,1
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T11:00+01:00,2019-03-01T12:00+01:00,141,6,95,74,4,2017-01-12T12:00:00.107+01:00,,91,44,5,4,33,2,0
44656V72812,Elgeseter gate ved Abels gate,FV6690 HP 3 Meter 1588,2019-03-01T11:00+01:00,2019-03-01T12:00+01:00,1583,-,-,Totalt,-,-,-,-,-,-,-,-,-